Date of Posting,Creator Name,Post Link,Views,Plays,Likes,Comments,Engagement Score,Virality Score,Transcript,Topic,Take for the topic,Hook Format,Story Telling Flow,CTA
2024-11-21,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/89530610672/,12822,7916,862,90,7.42,6.0,[Transcript for 'Reading habits from age 1' — Failure confession format],Reading habits from age 1,How this changed my relationship with my toddler overnight,Story-based open loop,Before > Turning point > After,Link in bio for the full guide
2025-05-01,Arpita Axay Pithava,https://www.instagram.com/firsttimemom.official/p/39815864448/,2428672,3180175,143079,10344,6.32,100,[Transcript for 'Financial literacy for kids' — Relatable struggle format],Financial literacy for kids,The uncomfortable truth about modern childhood,Before vs After,Before > Turning point > After,Share with a parent friend
2024-05-21,Ishinna B. Sadana,https://www.instagram.com/ishinna_b_sadana/p/88716953603/,1726635,1204792,100021,3452,5.99,100,[Transcript for 'Raising confident girls' — Myth busting format],Raising confident girls,The one thing nobody tells new moms,Question hook,Before > Turning point > After,Follow for more parenting tips
2024-11-14,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/p/96985524768/,2117074,2490354,130854,10297,6.67,100,[Transcript for 'Building emotional intelligence' — Bold controversial statement format],Building emotional intelligence,Why gentle parenting is not permissive parenting,Stat shock,Problem > Agitate > Solve,Link in bio for the full guide
2025-03-24,Ishinna B. Sadana,https://www.instagram.com/ishinna_b_sadana/p/10831458047/,582185,500615,28126,1403,5.07,100,[Transcript for 'Digital detox for families' — Stat shock format],Digital detox for families,Most parents are doing it wrong — here's what research says,Relatable struggle,Problem > Agitate > Solve,Share with a parent friend
2024-12-26,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/10958048356/,642540,387516,79847,3295,12.94,100,[Transcript for 'Screen time limits for toddlers' — Relatable struggle format],Screen time limits for toddlers,What pediatricians wish parents knew,Relatable struggle,Myth > Truth > Example > CTA,Comment your experience below
2024-05-11,Mikita,https://www.instagram.com/moneyforkids/p/91786679553/,1673601,1804370,206910,17654,13.42,100,[Transcript for 'Digital detox for families' — Story-based open loop format],Digital detox for families,How this changed my relationship with my toddler overnight,Relatable struggle,Problem > Agitate > Solve,Follow for more parenting tips
2024-10-20,Sangeetha,https://www.instagram.com/sangeetharofficial/p/72963918926/,742372,824284,79132,8701,11.83,100,[Transcript for 'Positive discipline techniques' — Story-based open loop format],Positive discipline techniques,The uncomfortable truth about modern childhood,Failure confession,Question > Answer > Evidence > CTA,Tag a mom who needs this
2024-11-01,Gigi,https://www.instagram.com/mom.ma.g/p/29036206993/,82627,62837,11470,311,14.26,30.0,[Transcript for 'Montessori at home' — Relatable struggle format],Montessori at home,What pediatricians wish parents knew,Bold controversial statement,Problem > Agitate > Solve,Link in bio for the full guide
2024-11-27,Shweta Gandhi,https://www.instagram.com/schweta.happyminds/p/50592208008/,2293510,2232062,250339,17270,11.67,100,[Transcript for 'Managing tantrums in public' — Failure confession format],Managing tantrums in public,The tiny habit that transformed our mornings,Question hook,Before > Turning point > After,Comment your experience below
2025-01-07,Arpita Axay Pithava,https://www.instagram.com/firsttimemom.official/p/27216121379/,1284301,1303283,54807,2113,4.43,100,[Transcript for 'Handling sibling rivalry' — Stat shock format],Handling sibling rivalry,Stop blaming yourself — it's a system problem,Bold controversial statement,Hook > Story > Lesson > CTA,Link in bio for the full guide
2024-11-04,Gigi,https://www.instagram.com/mom.ma.g/p/95048168680/,385095,274757,39177,1626,10.6,100,[Transcript for 'Digital detox for families' — Stat shock format],Digital detox for families,Science-backed method that actually works,Failure confession,Myth > Truth > Example > CTA,DM me GUIDE for the free resource
2024-07-19,Ishinna B. Sadana,https://www.instagram.com/ishinna_b_sadana/p/60125006727/,324953,355052,21573,1963,7.24,100,[Transcript for 'Picky eater solutions' — Failure confession format],Picky eater solutions,Why gentle parenting is not permissive parenting,Myth busting,Before > Turning point > After,DM me GUIDE for the free resource
2024-01-21,Ankita B Chandak,https://www.instagram.com/followyourchild/p/57385783460/,708979,690718,68400,4689,10.31,100,[Transcript for 'Unschooling vs traditional schooling' — Story-based open loop format],Unschooling vs traditional schooling,Most parents are doing it wrong — here's what research says,Before vs After,Myth > Truth > Example > CTA,Tag a mom who needs this
2024-02-18,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/23071021164/,2024445,1796606,208781,17145,11.16,100,[Transcript for 'Reading habits from age 1' — Myth busting format],Reading habits from age 1,The uncomfortable truth about modern childhood,Question hook,Myth > Truth > Example > CTA,Share with a parent friend
2025-03-09,Sangeetha,https://www.instagram.com/sangeetharofficial/p/40409597024/,1551449,981744,80849,7980,5.73,100,[Transcript for 'ADHD parenting tips' — Story-based open loop format],ADHD parenting tips,The one thing nobody tells new moms,Failure confession,Question > Answer > Evidence > CTA,Link in bio for the full guide
2024-06-01,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/82571303152/,1369295,1145184,125932,13368,10.17,100,[Transcript for 'Handling sibling rivalry' — Failure confession format],Handling sibling rivalry,Science-backed method that actually works,Myth busting,Hook > Story > Lesson > CTA,Share with a parent friend
2024-02-23,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/p/20722055227/,2167125,1935298,110562,9039,5.52,100,[Transcript for 'Digital detox for families' — Myth busting format],Digital detox for families,How I changed my approach after 3 years of struggling,Question hook,Problem > Agitate > Solve,Share with a parent friend
2024-12-02,Ankita B Chandak,https://www.instagram.com/followyourchild/p/11182928524/,192946,248037,15780,1185,8.79,82.0,[Transcript for 'Co-sleeping pros and cons' — Bold controversial statement format],Co-sleeping pros and cons,Stop blaming yourself — it's a system problem,Story-based open loop,Question > Answer > Evidence > CTA,Share with a parent friend
2024-05-22,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/p/29538018433/,1372478,1848943,173666,13519,13.64,100,[Transcript for 'Picky eater solutions' — Relatable struggle format],Picky eater solutions,Most parents are doing it wrong — here's what research says,Myth busting,Problem > Agitate > Solve,Save this for later
2024-08-24,Shivani Kapoor,https://www.instagram.com/cafeparent/p/52465338079/,71481,74343,6115,229,8.88,26.0,[Transcript for 'Language development milestones' — Relatable struggle format],Language development milestones,How I changed my approach after 3 years of struggling,Failure confession,Problem > Agitate > Solve,Save this for later
2024-12-27,Shweta Gandhi,https://www.instagram.com/schweta.happyminds/p/18564898001/,360062,470184,29286,2050,8.7,100,[Transcript for 'Nature play benefits' — Myth busting format],Nature play benefits,Stop blaming yourself — it's a system problem,Failure confession,Problem > Agitate > Solve,Tag a mom who needs this
2024-06-22,Manita Jain,https://www.instagram.com/babyobooks/p/18100218334/,1069930,990101,57080,6582,5.95,100,[Transcript for 'Picky eater solutions' — Story-based open loop format],Picky eater solutions,Stop blaming yourself — it's a system problem,Before vs After,Hook > Story > Lesson > CTA,Link in bio for the full guide
2025-03-09,3mguru,https://www.instagram.com/3mguru/reels/p/73319877544/,1878834,2068506,143505,10452,8.19,100,[Transcript for 'Handling sibling rivalry' — Relatable struggle format],Handling sibling rivalry,How I changed my approach after 3 years of struggling,Myth busting,Question > Answer > Evidence > CTA,Tag a mom who needs this
2024-11-02,Sangeetha,https://www.instagram.com/sangeetharofficial/p/47483985994/,955704,1233790,142120,4896,15.38,100,[Transcript for 'Nature play benefits' — Story-based open loop format],Nature play benefits,How this changed my relationship with my toddler overnight,Bold controversial statement,Hook > Story > Lesson > CTA,Save this for later
2024-05-05,ParulYadav,https://www.instagram.com/the.corporate.momm/p/70628045129/,1690095,1483813,87893,2771,5.36,100,[Transcript for 'ADHD parenting tips' — Story-based open loop format],ADHD parenting tips,Stop blaming yourself — it's a system problem,Myth busting,Problem > Agitate > Solve,Comment your experience below
2024-01-23,Payal V. Narang,https://www.instagram.com/playfulparenthood/p/19513116258/,7978,9225,643,71,8.95,3.0,[Transcript for 'Co-sleeping pros and cons' — Bold controversial statement format],Co-sleeping pros and cons,What pediatricians wish parents knew,Question hook,Hook > Story > Lesson > CTA,Follow for more parenting tips
2024-08-19,Hollie Mayes,https://www.instagram.com/hollie_mayes/p/92214116648/,1640298,2239963,120663,9880,7.96,100,[Transcript for 'Montessori at home' — Failure confession format],Montessori at home,The tiny habit that transformed our mornings,Failure confession,Question > Answer > Evidence > CTA,DM me GUIDE for the free resource
2024-02-12,Kriti S Gupta,https://www.instagram.com/explorewithmommy/p/17180056955/,2095446,2738170,235374,6342,11.54,100,[Transcript for 'Unschooling vs traditional schooling' — Stat shock format],Unschooling vs traditional schooling,The tiny habit that transformed our mornings,Before vs After,Hook > Story > Lesson > CTA,Follow for more parenting tips
2024-04-18,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/74305473643/,1329520,905452,95022,8229,7.77,100,[Transcript for 'Nature play benefits' — Myth busting format],Nature play benefits,Science-backed method that actually works,Before vs After,Problem > Agitate > Solve,Link in bio for the full guide
2025-05-02,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/86402902930/,1640116,1426572,206258,11795,13.29,100,[Transcript for 'Positive discipline techniques' — Failure confession format],Positive discipline techniques,The one thing nobody tells new moms,Relatable struggle,Problem > Agitate > Solve,Tag a mom who needs this
2025-05-19,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/53577554125/,903549,1143980,47068,1276,5.35,100,[Transcript for 'Managing tantrums in public' — Bold controversial statement format],Managing tantrums in public,The uncomfortable truth about modern childhood,Stat shock,Myth > Truth > Example > CTA,Follow for more parenting tips
2024-08-07,3mguru,https://www.instagram.com/3mguru/reels/p/18110906878/,584124,367074,55447,1128,9.69,100,[Transcript for 'Positive discipline techniques' — Failure confession format],Positive discipline techniques,The uncomfortable truth about modern childhood,Stat shock,Question > Answer > Evidence > CTA,Link in bio for the full guide
2025-04-18,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/94401787819/,2451701,2797120,326047,27585,14.42,100,[Transcript for 'Managing tantrums in public' — Failure confession format],Managing tantrums in public,The one thing nobody tells new moms,Before vs After,Myth > Truth > Example > CTA,Save this for later
2024-05-29,Gigi,https://www.instagram.com/mom.ma.g/p/99779503582/,1150785,1184973,77536,2455,6.95,100,[Transcript for 'Reducing mom guilt' — Myth busting format],Reducing mom guilt,Why gentle parenting is not permissive parenting,Before vs After,Problem > Agitate > Solve,Follow for more parenting tips
2025-01-18,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/68734202334/,1772842,2475105,160480,17137,10.02,100,[Transcript for 'Managing tantrums in public' — Relatable struggle format],Managing tantrums in public,Most parents are doing it wrong — here's what research says,Stat shock,Question > Answer > Evidence > CTA,DM me GUIDE for the free resource
2024-08-04,Shivani Kapoor,https://www.instagram.com/cafeparent/p/64584005920/,638174,709643,89251,2761,14.42,100,[Transcript for 'Reducing mom guilt' — Story-based open loop format],Reducing mom guilt,How I changed my approach after 3 years of struggling,Story-based open loop,Question > Answer > Evidence > CTA,DM me GUIDE for the free resource
2024-10-15,DANNAH EVE,https://www.instagram.com/dannah_eve/p/56058645432/,773294,526449,63683,4266,8.79,100,[Transcript for 'Financial literacy for kids' — Story-based open loop format],Financial literacy for kids,What pediatricians wish parents knew,Story-based open loop,Question > Answer > Evidence > CTA,Share with a parent friend
2024-12-08,Anishkaa Malpani,https://www.instagram.com/anishkaa_malpani/p/30630301171/,673024,778300,27562,3206,4.57,100,[Transcript for 'ADHD parenting tips' — Relatable struggle format],ADHD parenting tips,The tiny habit that transformed our mornings,Before vs After,Before > Turning point > After,Link in bio for the full guide
2024-08-07,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/p/34775899123/,1072967,1407123,159329,16395,16.38,100,[Transcript for 'Raising confident girls' — Before vs After format],Raising confident girls,The one thing nobody tells new moms,Failure confession,Before > Turning point > After,Tag a mom who needs this
2024-12-24,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/60805071904/,1983701,2672768,141682,6832,7.49,100,[Transcript for 'Digital detox for families' — Bold controversial statement format],Digital detox for families,The uncomfortable truth about modern childhood,Myth busting,Myth > Truth > Example > CTA,Follow for more parenting tips
2025-01-28,Gigi,https://www.instagram.com/mom.ma.g/p/24675638443/,1214045,1286849,135931,14925,12.43,100,[Transcript for 'Nature play benefits' — Relatable struggle format],Nature play benefits,Most parents are doing it wrong — here's what research says,Question hook,Hook > Story > Lesson > CTA,DM me GUIDE for the free resource
2024-01-04,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/p/37538825273/,1841450,1402713,103594,4287,5.86,100,[Transcript for 'Picky eater solutions' — Relatable struggle format],Picky eater solutions,Stop blaming yourself — it's a system problem,Stat shock,Myth > Truth > Example > CTA,Link in bio for the full guide
2025-02-01,drtristha,https://www.instagram.com/drtristha/p/23581657056/,190350,181661,24973,647,13.46,72.0,[Transcript for 'Unschooling vs traditional schooling' — Stat shock format],Unschooling vs traditional schooling,Most parents are doing it wrong — here's what research says,Bold controversial statement,Problem > Agitate > Solve,Tag a mom who needs this
2024-05-07,drtristha,https://www.instagram.com/drtristha/p/72255690493/,707895,611700,55692,4256,8.47,100,[Transcript for 'Building emotional intelligence' — Relatable struggle format],Building emotional intelligence,The one thing nobody tells new moms,Bold controversial statement,Question > Answer > Evidence > CTA,Tag a mom who needs this
2024-05-01,Shweta Gandhi,https://www.instagram.com/schweta.happyminds/p/35914052362/,570498,610242,43333,1579,7.87,100,[Transcript for 'Language development milestones' — Myth busting format],Language development milestones,What pediatricians wish parents knew,Question hook,Myth > Truth > Example > CTA,Comment your experience below
2025-06-06,Swati Goyal,https://www.instagram.com/iamswatigoyal_/p/34304394376/,1466648,1484778,198930,18366,14.82,100,[Transcript for 'Picky eater solutions' — Myth busting format],Picky eater solutions,Most parents are doing it wrong — here's what research says,Bold controversial statement,Problem > Agitate > Solve,Tag a mom who needs this
2025-03-22,Arpita Axay Pithava,https://www.instagram.com/firsttimemom.official/p/78844848359/,1007347,1365901,116655,13109,12.88,100,[Transcript for 'Financial literacy for kids' — Relatable struggle format],Financial literacy for kids,The uncomfortable truth about modern childhood,Question hook,Before > Turning point > After,DM me GUIDE for the free resource
2024-06-11,Mikita,https://www.instagram.com/moneyforkids/p/81444281598/,473581,599532,30479,720,6.59,100,[Transcript for 'Co-sleeping pros and cons' — Myth busting format],Co-sleeping pros and cons,What pediatricians wish parents knew,Story-based open loop,Question > Answer > Evidence > CTA,Tag a mom who needs this
2024-11-09,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/23941993417/,1810556,1586706,200277,11623,11.7,100,[Transcript for 'Building emotional intelligence' — Story-based open loop format],Building emotional intelligence,Stop blaming yourself — it's a system problem,Relatable struggle,Problem > Agitate > Solve,Follow for more parenting tips
2024-10-12,Ishinna B. Sadana,https://www.instagram.com/ishinna_b_sadana/p/82844323398/,2380955,2152731,237405,9371,10.36,100,[Transcript for 'Picky eater solutions' — Question hook format],Picky eater solutions,Most parents are doing it wrong — here's what research says,Bold controversial statement,Problem > Agitate > Solve,Link in bio for the full guide
2025-06-07,Shivani Kapoor,https://www.instagram.com/cafeparent/p/35318713807/,890271,808765,65537,5899,8.02,100,[Transcript for 'Nature play benefits' — Question hook format],Nature play benefits,What pediatricians wish parents knew,Relatable struggle,Before > Turning point > After,Save this for later
2025-01-15,Ishinna B. Sadana,https://www.instagram.com/ishinna_b_sadana/p/74027520897/,340011,296912,42341,4656,13.82,100,[Transcript for 'Raising confident girls' — Failure confession format],Raising confident girls,Science-backed method that actually works,Bold controversial statement,Myth > Truth > Example > CTA,Share with a parent friend
2024-05-29,3mguru,https://www.instagram.com/3mguru/reels/p/33930405843/,2318591,1433155,221835,20782,10.46,100,[Transcript for 'Age-appropriate chores' — Question hook format],Age-appropriate chores,How I changed my approach after 3 years of struggling,Stat shock,Before > Turning point > After,Follow for more parenting tips
2024-09-26,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/74972495011/,716378,705785,74287,5734,11.17,100,[Transcript for 'Managing tantrums in public' — Bold controversial statement format],Managing tantrums in public,What pediatricians wish parents knew,Story-based open loop,Question > Answer > Evidence > CTA,Share with a parent friend
2024-10-14,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/67273164376/,2032282,2232715,177557,5792,9.02,100,[Transcript for 'Managing tantrums in public' — Story-based open loop format],Managing tantrums in public,What pediatricians wish parents knew,Question hook,Question > Answer > Evidence > CTA,Comment your experience below
2025-01-29,Anishkaa Malpani,https://www.instagram.com/anishkaa_malpani/p/74205060675/,1079291,1457955,132233,14988,13.64,100,[Transcript for 'Handling sibling rivalry' — Story-based open loop format],Handling sibling rivalry,Why gentle parenting is not permissive parenting,Question hook,Problem > Agitate > Solve,Share with a parent friend
2024-05-20,Shweta Gandhi,https://www.instagram.com/schweta.happyminds/p/72572501411/,675810,669849,71078,2855,10.94,100,[Transcript for 'Age-appropriate chores' — Story-based open loop format],Age-appropriate chores,The tiny habit that transformed our mornings,Bold controversial statement,Before > Turning point > After,Save this for later
2024-06-17,Arpita Axay Pithava,https://www.instagram.com/firsttimemom.official/p/17165311854/,1384359,1231017,101851,3426,7.6,100,[Transcript for 'Language development milestones' — Failure confession format],Language development milestones,How this changed my relationship with my toddler overnight,Myth busting,Hook > Story > Lesson > CTA,Comment your experience below
2024-03-19,ParulYadav,https://www.instagram.com/the.corporate.momm/p/96436428012/,2436072,1638745,259021,25004,11.66,100,[Transcript for 'Positive discipline techniques' — Failure confession format],Positive discipline techniques,Why gentle parenting is not permissive parenting,Stat shock,Problem > Agitate > Solve,Save this for later
2024-09-14,Vishruti Shah,https://www.instagram.com/vishruti_shah_unschooling/p/69252977385/,547739,331592,26420,2327,5.25,100,[Transcript for 'Language development milestones' — Failure confession format],Language development milestones,The tiny habit that transformed our mornings,Bold controversial statement,Before > Turning point > After,Link in bio for the full guide
2024-06-25,Gigi,https://www.instagram.com/mom.ma.g/p/35977561438/,1646539,1697787,173931,4889,10.86,100,[Transcript for 'Raising confident girls' — Relatable struggle format],Raising confident girls,How this changed my relationship with my toddler overnight,Story-based open loop,Problem > Agitate > Solve,Share with a parent friend
2024-10-14,drtristha,https://www.instagram.com/drtristha/p/76177157605/,2040545,1334679,180115,19112,9.76,100,[Transcript for 'Age-appropriate chores' — Question hook format],Age-appropriate chores,Most parents are doing it wrong — here's what research says,Bold controversial statement,Myth > Truth > Example > CTA,Save this for later
2024-11-01,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/84916439061/,2262462,2521490,161942,10430,7.62,100,[Transcript for 'Screen time limits for toddlers' — Bold controversial statement format],Screen time limits for toddlers,What pediatricians wish parents knew,Myth busting,Before > Turning point > After,Comment your experience below
2025-03-21,Vishruti Shah,https://www.instagram.com/vishruti_shah_unschooling/p/21144405827/,1368656,959765,76069,4307,5.87,100,[Transcript for 'Building emotional intelligence' — Relatable struggle format],Building emotional intelligence,Science-backed method that actually works,Failure confession,Question > Answer > Evidence > CTA,Follow for more parenting tips
2025-05-26,Manita Jain,https://www.instagram.com/babyobooks/p/42922595848/,694115,550201,38530,4532,6.2,100,[Transcript for 'Handling sibling rivalry' — Relatable struggle format],Handling sibling rivalry,What pediatricians wish parents knew,Relatable struggle,Hook > Story > Lesson > CTA,Share with a parent friend
2024-11-13,drtristha,https://www.instagram.com/drtristha/p/33578078925/,1005482,634383,71230,4909,7.57,100,[Transcript for 'Managing tantrums in public' — Bold controversial statement format],Managing tantrums in public,What pediatricians wish parents knew,Failure confession,Before > Turning point > After,Save this for later
2024-04-29,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/82262162872/,705093,464633,46925,1419,6.86,100,[Transcript for 'Montessori at home' — Question hook format],Montessori at home,Stop blaming yourself — it's a system problem,Question hook,Hook > Story > Lesson > CTA,Tag a mom who needs this
2025-02-28,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/p/24033533165/,1874462,1643853,247542,27287,14.66,100,[Transcript for 'Digital detox for families' — Relatable struggle format],Digital detox for families,The one thing nobody tells new moms,Bold controversial statement,Before > Turning point > After,Follow for more parenting tips
2025-01-31,Sangeetha,https://www.instagram.com/sangeetharofficial/p/13781245559/,1398163,1612784,174727,4165,12.79,100,[Transcript for 'Language development milestones' — Myth busting format],Language development milestones,Science-backed method that actually works,Stat shock,Hook > Story > Lesson > CTA,DM me GUIDE for the free resource
2024-09-21,DANNAH EVE,https://www.instagram.com/dannah_eve/p/35606702844/,2446382,2095808,138302,2981,5.78,100,[Transcript for 'Screen time limits for toddlers' — Question hook format],Screen time limits for toddlers,Stop blaming yourself — it's a system problem,Story-based open loop,Myth > Truth > Example > CTA,DM me GUIDE for the free resource
2025-04-07,Scott Donnell,https://www.instagram.com/imscottdonnell/p/49046188209/,2216408,1464304,304644,35017,15.32,100,[Transcript for 'Co-sleeping pros and cons' — Myth busting format],Co-sleeping pros and cons,Science-backed method that actually works,Bold controversial statement,Problem > Agitate > Solve,Save this for later
2025-01-27,Aditi K,https://www.instagram.com/this.mamas.diary/p/56863354210/,29610,32731,1823,154,6.68,10.0,[Transcript for 'Co-sleeping pros and cons' — Failure confession format],Co-sleeping pros and cons,What pediatricians wish parents knew,Question hook,Before > Turning point > After,Save this for later
2024-12-02,3mguru,https://www.instagram.com/3mguru/reels/p/60288986679/,1328194,844515,101408,6048,8.09,100,[Transcript for 'Age-appropriate chores' — Relatable struggle format],Age-appropriate chores,The tiny habit that transformed our mornings,Relatable struggle,Hook > Story > Lesson > CTA,Tag a mom who needs this
2024-09-19,ParulYadav,https://www.instagram.com/the.corporate.momm/p/37882677471/,666384,818184,39825,2618,6.37,100,[Transcript for 'Managing tantrums in public' — Story-based open loop format],Managing tantrums in public,How I changed my approach after 3 years of struggling,Failure confession,Question > Answer > Evidence > CTA,Comment your experience below
2024-06-29,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/p/97507033286/,2202253,1754578,118324,8004,5.74,100,[Transcript for 'Teaching consent to toddlers' — Bold controversial statement format],Teaching consent to toddlers,Why gentle parenting is not permissive parenting,Stat shock,Problem > Agitate > Solve,Link in bio for the full guide
2024-06-04,Mikita,https://www.instagram.com/moneyforkids/p/48382563318/,342949,353493,40255,2680,12.52,100,[Transcript for 'Financial literacy for kids' — Before vs After format],Financial literacy for kids,The uncomfortable truth about modern childhood,Story-based open loop,Question > Answer > Evidence > CTA,Comment your experience below
2024-11-05,Meg Rogerson,https://www.instagram.com/meg.rogerson_author/p/20098478282/,41718,30225,2840,188,7.26,14.0,[Transcript for 'Age-appropriate chores' — Stat shock format],Age-appropriate chores,How this changed my relationship with my toddler overnight,Myth busting,Before > Turning point > After,Tag a mom who needs this
2024-04-19,Shweta Gandhi,https://www.instagram.com/schweta.happyminds/p/59065241171/,1016066,673246,108121,7252,11.35,100,[Transcript for 'Montessori at home' — Relatable struggle format],Montessori at home,Why gentle parenting is not permissive parenting,Bold controversial statement,Hook > Story > Lesson > CTA,DM me GUIDE for the free resource
2025-03-24,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/p/62327419153/,1906607,1878037,230827,25858,13.46,100,[Transcript for 'Raising confident girls' — Myth busting format],Raising confident girls,Most parents are doing it wrong — here's what research says,Bold controversial statement,Problem > Agitate > Solve,Tag a mom who needs this
2025-05-21,3mguru,https://www.instagram.com/3mguru/reels/p/29563670490/,1158628,935338,138399,10012,12.81,100,[Transcript for 'Financial literacy for kids' — Bold controversial statement format],Financial literacy for kids,Stop blaming yourself — it's a system problem,Failure confession,Problem > Agitate > Solve,Save this for later
2024-06-30,Sangeetha,https://www.instagram.com/sangeetharofficial/p/71846089255/,1228333,867552,163838,18241,14.82,100,[Transcript for 'Reading habits from age 1' — Bold controversial statement format],Reading habits from age 1,The tiny habit that transformed our mornings,Story-based open loop,Question > Answer > Evidence > CTA,Follow for more parenting tips
2025-04-10,Manita Jain,https://www.instagram.com/babyobooks/p/46416484978/,1404752,1815826,182748,4651,13.34,100,[Transcript for 'Language development milestones' — Relatable struggle format],Language development milestones,The tiny habit that transformed our mornings,Story-based open loop,Before > Turning point > After,DM me GUIDE for the free resource
2024-09-27,Manita Jain,https://www.instagram.com/babyobooks/p/12920163802/,1118566,771554,167597,7385,15.64,100,[Transcript for 'Co-sleeping pros and cons' — Bold controversial statement format],Co-sleeping pros and cons,Why gentle parenting is not permissive parenting,Bold controversial statement,Hook > Story > Lesson > CTA,Share with a parent friend
2024-11-13,Manita Jain,https://www.instagram.com/babyobooks/p/83238446548/,2049433,2231396,176891,19450,9.58,100,[Transcript for 'Unschooling vs traditional schooling' — Failure confession format],Unschooling vs traditional schooling,The tiny habit that transformed our mornings,Story-based open loop,Question > Answer > Evidence > CTA,Share with a parent friend
2024-09-15,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/p/31288772244/,347537,330205,47977,3619,14.85,81.0,[Transcript for 'Montessori at home' — Relatable struggle format],Montessori at home,The tiny habit that transformed our mornings,Myth busting,Problem > Agitate > Solve,Link in bio for the full guide
2024-09-07,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/85645727240/,1039129,888131,50889,4818,5.36,100,[Transcript for 'Nature play benefits' — Before vs After format],Nature play benefits,The tiny habit that transformed our mornings,Myth busting,Problem > Agitate > Solve,Tag a mom who needs this
2024-12-16,Dr. Gaayatri Rathod,https://www.instagram.com/psychiatrist.mom/p/25185188508/,1486214,1615285,162228,10262,11.61,100,[Transcript for 'Teaching consent to toddlers' — Story-based open loop format],Teaching consent to toddlers,Most parents are doing it wrong — here's what research says,Myth busting,Problem > Agitate > Solve,Tag a mom who needs this
2025-01-08,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/p/15615583489/,374339,306448,22826,2482,6.76,89.0,[Transcript for 'Teaching consent to toddlers' — Failure confession format],Teaching consent to toddlers,How I changed my approach after 3 years of struggling,Question hook,Hook > Story > Lesson > CTA,Save this for later
2025-02-09,Arpita Axay Pithava,https://www.instagram.com/firsttimemom.official/p/53929081113/,2245313,3039509,296518,7036,13.52,100,[Transcript for 'Managing tantrums in public' — Before vs After format],Managing tantrums in public,Stop blaming yourself — it's a system problem,Failure confession,Myth > Truth > Example > CTA,Tag a mom who needs this
2024-05-15,Dr. Gaayatri Rathod,https://www.instagram.com/psychiatrist.mom/p/61681405853/,2495399,1614740,278454,23749,12.11,100,[Transcript for 'Montessori at home' — Story-based open loop format],Montessori at home,Science-backed method that actually works,Story-based open loop,Myth > Truth > Example > CTA,Follow for more parenting tips
2025-06-26,Hollie Mayes,https://www.instagram.com/hollie_mayes/p/73661306535/,42208,45690,5946,620,15.56,12.0,[Transcript for 'Teaching consent to toddlers' — Relatable struggle format],Teaching consent to toddlers,Most parents are doing it wrong — here's what research says,Relatable struggle,Hook > Story > Lesson > CTA,DM me GUIDE for the free resource
2024-09-06,Payal V. Narang,https://www.instagram.com/playfulparenthood/p/12979770347/,1117313,1280835,137450,14498,13.6,100,[Transcript for 'Language development milestones' — Before vs After format],Language development milestones,The tiny habit that transformed our mornings,Story-based open loop,Before > Turning point > After,Tag a mom who needs this
2024-08-06,ParulYadav,https://www.instagram.com/the.corporate.momm/p/63849731224/,216182,170081,24137,696,11.49,94.0,[Transcript for 'Managing tantrums in public' — Bold controversial statement format],Managing tantrums in public,Most parents are doing it wrong — here's what research says,Bold controversial statement,Myth > Truth > Example > CTA,Comment your experience below
2024-07-25,3mguru,https://www.instagram.com/3mguru/reels/p/41064278308/,1088917,1475739,154456,13708,15.44,100,[Transcript for 'Handling sibling rivalry' — Story-based open loop format],Handling sibling rivalry,Why gentle parenting is not permissive parenting,Question hook,Hook > Story > Lesson > CTA,Tag a mom who needs this
2024-05-28,Payal V. Narang,https://www.instagram.com/playfulparenthood/p/28643023561/,301528,202136,42430,1438,14.55,66.0,[Transcript for 'Nature play benefits' — Stat shock format],Nature play benefits,The one thing nobody tells new moms,Before vs After,Problem > Agitate > Solve,DM me GUIDE for the free resource
